world_ref,namespace,x,y,area,size_band,roles,clusters
dlc4::worlds/PrehistoricShatteredClassicAsteroid,dlc4,240,380,91200,classic-large-width,start,dlc4::PrehistoricShatteredClassicCluster
dlc4::worlds/PrehistoricSpacedOutAsteroid,dlc4,160,274,43840,spaced-out-standard-width,start,dlc4::PrehistoricSpacedOutCluster
dlc5::worlds/AquaticBaseGameAsteroid,dlc5,256,384,98304,base-game-extra-large-width,start,dlc5::AquaticBaseGameCluster
dlc5::worlds/AquaticClassicAsteroid,dlc5,240,380,91200,classic-large-width,start,dlc5::AquaticClassicCluster
dlc5::worlds/AquaticSpacedOutAsteroid,dlc5,160,274,43840,spaced-out-standard-width,start,dlc5::AquaticSpacedOutCluster
dlc5::worlds/MixingAquaticAsteroid,dlc5,64,128,8192,extremely-small,unreferenced,
expansion1::worlds/ForestMoonlet,expansion1,160,274,43840,spaced-out-standard-width,start,expansion1::ForestStartCluster
expansion1::worlds/IdealLandingSite,expansion1,128,153,19584,moonlet-mini-width,general,dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticSpacedOutCluster;expansion1::SandstoneStartCluster
expansion1::worlds/MarshyMoonlet,expansion1,64,96,6144,extremely-small,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticClassicCluster;dlc5::AquaticSpacedOutCluster;expansion1::ForestStartCluster;expansion1::KleiFest2023Cluster;expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart;expansion1::SandstoneStartCluster;expansion1::SwampStartCluster;expansion1::VanillaArboriaCluster;expansion1::VanillaAridioCluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaForestCluster;expansion1::VanillaOasisCluster;expansion1::VanillaOceaniaCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaSandstoneFrozenCluster;expansion1::VanillaSwampCluster;expansion1::VanillaVolcanicCluster
expansion1::worlds/MediumForestyRadioactiveVanillaWarpPlanet,expansion1,160,176,28160,spaced-out-standard-width,warp,expansion1::VanillaSwampCluster
expansion1::worlds/MediumForestyWasteland,expansion1,160,176,28160,spaced-out-standard-width,warp,expansion1::VanillaOceaniaCluster
expansion1::worlds/MediumRadioactiveVanillaWarpPlanet,expansion1,160,176,28160,spaced-out-standard-width,warp,expansion1::KleiFest2023Cluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaOasisCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaVolcanicCluster
expansion1::worlds/MediumSandyRadioactiveVanillaWarpPlanet,expansion1,160,176,28160,spaced-out-standard-width,warp,expansion1::VanillaArboriaCluster;expansion1::VanillaForestCluster
expansion1::worlds/MediumSandySwamp,expansion1,160,176,28160,spaced-out-standard-width,general,expansion1::VanillaAridioCluster
expansion1::worlds/MediumSwampy,expansion1,160,176,28160,spaced-out-standard-width,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc5::AquaticClassicCluster;expansion1::VanillaSandstoneFrozenCluster
expansion1::worlds/MetalHeavyLandingSite,expansion1,128,153,19584,moonlet-mini-width,general,expansion1::SwampStartCluster
expansion1::worlds/MiniBadlands,expansion1,128,153,19584,moonlet-mini-width,general,expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart
expansion1::worlds/MiniBadlandsStart,expansion1,128,153,19584,moonlet-mini-width,start,expansion1::MiniClusterBadlandsStart
expansion1::worlds/MiniBadlandsWarp,expansion1,128,153,19584,moonlet-mini-width,warp,expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart
expansion1::worlds/MiniFlipped,expansion1,128,153,19584,moonlet-mini-width,general,expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart
expansion1::worlds/MiniFlippedStart,expansion1,128,153,19584,moonlet-mini-width,start,expansion1::MiniClusterFlippedStart
expansion1::worlds/MiniFlippedWarp,expansion1,128,153,19584,moonlet-mini-width,warp,expansion1::MiniClusterRadioactiveOceanStart
expansion1::worlds/MiniForestFrozen,expansion1,128,153,19584,moonlet-mini-width,general,expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterRadioactiveOceanStart
expansion1::worlds/MiniForestFrozenStart,expansion1,128,153,19584,moonlet-mini-width,start,expansion1::MiniClusterForestFrozenStart
expansion1::worlds/MiniForestFrozenWarp,expansion1,128,153,19584,moonlet-mini-width,warp,expansion1::MiniClusterMetallicSwampyStart
expansion1::worlds/MiniMetallicSwampy,expansion1,128,153,19584,moonlet-mini-width,general,expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterRadioactiveOceanStart
expansion1::worlds/MiniMetallicSwampyStart,expansion1,128,153,19584,moonlet-mini-width,start,expansion1::MiniClusterMetallicSwampyStart
expansion1::worlds/MiniMetallicSwampyWarp,expansion1,128,153,19584,moonlet-mini-width,unreferenced,
expansion1::worlds/MiniRadioactiveOcean,expansion1,128,153,19584,moonlet-mini-width,general,expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart
expansion1::worlds/MiniRadioactiveOceanStart,expansion1,128,153,19584,moonlet-mini-width,start,expansion1::MiniClusterRadioactiveOceanStart
expansion1::worlds/MiniRadioactiveOceanWarp,expansion1,128,153,19584,moonlet-mini-width,warp,expansion1::MiniClusterBadlandsStart
expansion1::worlds/MiniRegolithMoonlet,expansion1,96,96,9216,extremely-small,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc5::AquaticClassicCluster;expansion1::KleiFest2023Cluster;expansion1::VanillaArboriaCluster;expansion1::VanillaAridioCluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaForestCluster;expansion1::VanillaOasisCluster;expansion1::VanillaOceaniaCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaSandstoneFrozenCluster;expansion1::VanillaSwampCluster;expansion1::VanillaVolcanicCluster
expansion1::worlds/MooMoonlet,expansion1,96,80,7680,extremely-small,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticClassicCluster;dlc5::AquaticSpacedOutCluster;expansion1::ForestStartCluster;expansion1::KleiFest2023Cluster;expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart;expansion1::SandstoneStartCluster;expansion1::SwampStartCluster;expansion1::VanillaArboriaCluster;expansion1::VanillaAridioCluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaForestCluster;expansion1::VanillaOasisCluster;expansion1::VanillaOceaniaCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaSandstoneFrozenCluster;expansion1::VanillaSwampCluster;expansion1::VanillaVolcanicCluster
expansion1::worlds/Moon_Barren,expansion1,96,96,9216,extremely-small,unreferenced,
expansion1::worlds/NiobiumMoonlet,expansion1,64,96,6144,extremely-small,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticClassicCluster;dlc5::AquaticSpacedOutCluster;expansion1::ForestStartCluster;expansion1::KleiFest2023Cluster;expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart;expansion1::SandstoneStartCluster;expansion1::SwampStartCluster;expansion1::VanillaArboriaCluster;expansion1::VanillaAridioCluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaForestCluster;expansion1::VanillaOasisCluster;expansion1::VanillaOceaniaCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaSandstoneFrozenCluster;expansion1::VanillaSwampCluster;expansion1::VanillaVolcanicCluster
expansion1::worlds/OilRichWarpTarget,expansion1,128,153,19584,moonlet-mini-width,warp,dlc2::CeresSpacedOutCluster;expansion1::ForestStartCluster;expansion1::SwampStartCluster
expansion1::worlds/OilyMoonlet,expansion1,64,96,6144,extremely-small,unreferenced,
expansion1::worlds/RegolithMoonlet,expansion1,160,96,15360,spaced-out-standard-width,general,dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticSpacedOutCluster;expansion1::ForestStartCluster;expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart;expansion1::SandstoneStartCluster;expansion1::SwampStartCluster
expansion1::worlds/SmallRadioactiveLandingSite,expansion1,96,128,12288,extremely-small,unreferenced,
expansion1::worlds/SmallWarpOilySwamp,expansion1,96,128,12288,extremely-small,unreferenced,
expansion1::worlds/SpaceshipInterior,expansion1,96,96,9216,extremely-small,unreferenced,
expansion1::worlds/StrangeAsteroidKleiFest2023Cluster,expansion1,380,240,91200,base-game-extra-large-width,start,expansion1::KleiFest2023Cluster
expansion1::worlds/SulfurMoonlet,expansion1,64,96,6144,extremely-small,unreferenced,
expansion1::worlds/SwampMoonlet,expansion1,160,274,43840,spaced-out-standard-width,start,expansion1::SwampStartCluster
expansion1::worlds/SwampyLandingSite,expansion1,128,153,19584,moonlet-mini-width,general,dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;expansion1::ForestStartCluster
expansion1::worlds/TerraMoonlet,expansion1,160,274,43840,spaced-out-standard-width,start,expansion1::SandstoneStartCluster
expansion1::worlds/TinyEmpty,expansion1,32,32,1024,extremely-small,unreferenced,
expansion1::worlds/TinyForest,expansion1,64,64,4096,extremely-small,unreferenced,
expansion1::worlds/TinyIce,expansion1,64,64,4096,extremely-small,unreferenced,
expansion1::worlds/TinyMagma,expansion1,64,64,4096,extremely-small,unreferenced,
expansion1::worlds/TinyStart,expansion1,128,96,12288,moonlet-mini-width,unreferenced,
expansion1::worlds/TundraMoonlet,expansion1,64,128,8192,extremely-small,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticClassicCluster;dlc5::AquaticSpacedOutCluster;expansion1::ForestStartCluster;expansion1::KleiFest2023Cluster;expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart;expansion1::SandstoneStartCluster;expansion1::SwampStartCluster;expansion1::VanillaArboriaCluster;expansion1::VanillaAridioCluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaForestCluster;expansion1::VanillaOasisCluster;expansion1::VanillaOceaniaCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaSandstoneFrozenCluster;expansion1::VanillaSwampCluster;expansion1::VanillaVolcanicCluster
expansion1::worlds/TwinMoonlet,expansion1,96,160,15360,extremely-small,unreferenced,
expansion1::worlds/VanillaArboria,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaArboriaCluster
expansion1::worlds/VanillaAridio,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaAridioCluster
expansion1::worlds/VanillaBadlands,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaBadlandsCluster
expansion1::worlds/VanillaForestDefault,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaForestCluster
expansion1::worlds/VanillaOasis,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaOasisCluster
expansion1::worlds/VanillaOceania,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaOceaniaCluster
expansion1::worlds/VanillaSandstoneDefault,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaSandstoneCluster
expansion1::worlds/VanillaSandstoneFrozen,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaSandstoneFrozenCluster
expansion1::worlds/VanillaSwampDefault,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaSwampCluster
expansion1::worlds/VanillaVolcanic,expansion1,240,380,91200,classic-large-width,start,expansion1::VanillaVolcanicCluster
expansion1::worlds/WarpOilySandySwamp,expansion1,128,153,19584,moonlet-mini-width,warp,dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticSpacedOutCluster
expansion1::worlds/WarpOilySwamp,expansion1,128,153,19584,moonlet-mini-width,warp,expansion1::SandstoneStartCluster
expansion1::worlds/WaterMoonlet,expansion1,80,174,13920,extremely-small,general,dlc2::CeresClassicCluster;dlc2::CeresClassicShatteredCluster;dlc2::CeresSpacedOutCluster;dlc2::CeresSpacedOutShatteredCluster;dlc4::PrehistoricClassicCluster;dlc4::PrehistoricShatteredClassicCluster;dlc4::PrehistoricSpacedOutCluster;dlc5::AquaticClassicCluster;dlc5::AquaticSpacedOutCluster;expansion1::ForestStartCluster;expansion1::KleiFest2023Cluster;expansion1::MiniClusterBadlandsStart;expansion1::MiniClusterFlippedStart;expansion1::MiniClusterForestFrozenStart;expansion1::MiniClusterMetallicSwampyStart;expansion1::MiniClusterRadioactiveOceanStart;expansion1::SandstoneStartCluster;expansion1::SwampStartCluster;expansion1::VanillaArboriaCluster;expansion1::VanillaAridioCluster;expansion1::VanillaBadlandsCluster;expansion1::VanillaForestCluster;expansion1::VanillaOasisCluster;expansion1::VanillaOceaniaCluster;expansion1::VanillaSandstoneCluster;expansion1::VanillaSandstoneFrozenCluster;expansion1::VanillaSwampCluster;expansion1::VanillaVolcanicCluster
